id,published_at,views,likes,dislikes,comments,length
wjIMWuBSvLA,2014-12-07T08:57:00Z,7647,61,0,0,PT5M20S
-bR4WddD2_A,2014-02-20T17:21:25Z,890,51,0,10,PT3M4S
I81rKJytYZI,2014-10-08T21:31:11Z,851,5,0,0,PT40M22S
7ylQzP-0g1s,2014-09-24T02:00:01Z,1010409,35849,0,1103,PT5M52S
D8lYPLwprYg,2014-04-23T08:56:46Z,172,17,0,2,PT1M7S
ttTOj9yJU-U,2014-05-13T20:18:48Z,1591,58,0,3,PT2M20S
z93kCj-E3X8,2014-06-12T07:09:33Z,495,21,0,6,PT5M11S
7TMjvVxZqMk,2014-11-10T00:38:14Z,164,3,0,2,PT30S
I6C255TtFPM,2014-02-26T18:06:14Z,428589,500,0,14,PT4M29S
poEzICSDJ_c,2014-08-16T09:16:57Z,489,21,0,0,PT28M27S
pMw7Fogl6tY,2014-08-11T01:57:00Z,73017,1076,0,85,PT57M17S
qowXBUBI8hI,2014-05-31T01:11:58Z,628697,6194,0,454,PT1M17S
d9AuP5jwvKc,2014-03-23T17:51:11Z,2768,59,0,8,PT35S
I6KfzbqbFU8,2014-08-31T21:10:02Z,13535,100,0,0,PT7S
B6kfaTXsFoM,2014-09-27T13:20:57Z,3501,50,0,0,PT27S
4kLNfIRejXM,2014-11-02T23:23:09Z,726,8,0,0,PT47S
EqlyEYOI754,2014-08-16T17:38:14Z,188651,1421,0,0,PT10M
fiZtUPxh0N4,2014-07-12T13:00:03Z,2163799,7644,0,604,PT6M22S
wUia0wo5Yc0,2014-11-08T11:50:22Z,603,4,0,0,PT40S
UCT4U8N3s5Q,2014-04-20T20:15:53Z,153,19,0,3,PT1M29S
vSeV6FroxlY,2014-11-10T00:36:44Z,262,5,0,0,PT49S
3uCQxgE5iRk,2014-10-30T16:07:42Z,188567,2295,0,99,PT4M22S
BNG4qfYt9Jg,2014-04-08T14:44:06Z,652,15,0,0,PT2M48S
5ib0U5ws8gc,2014-11-21T14:43:37Z,254,7,0,0,PT1M
zKy7a9xlCVQ,2014-05-05T22:04:50Z,322,14,0,1,PT3M22S
DwmxpZWGG-g,2014-04-24T06:09:35Z,433875,2589,0,63,PT6M50S
6lpWehZGr9E,2014-06-19T14:21:14Z,1132,25,0,4,PT4M58S
oMJr6LcuSwc,2014-09-12T16:45:34Z,151925,717,0,62,PT5M56S
q2USa_0LcnM,2014-06-26T20:13:41Z,600707,117,0,0,PT4M23S
bjq8eGHbiCg,2014-11-12T08:24:24Z,6181,29,0,2,PT4M
ZTvcmh5tuVI,2014-03-12T18:56:55Z,533,2,0,0,PT1M45S
iLagcAx5TLI,2014-04-03T04:23:38Z,7138,33,0,0,PT1M31S
LL6XmZKgJmY,2014-07-21T05:12:25Z,1094,30,0,1,PT50M42S
Lgw0iGxdcyk,2014-03-31T16:00:05Z,201808,3840,0,2125,PT4M15S
YMLEv3OKvYo,2014-10-09T04:34:07Z,18353,116,0,43,PT4M56S
Qpwd4ExncyM,2014-10-31T06:37:45Z,6082,14,0,1,PT12S
RYX4J_prhlI,2014-11-17T10:30:04Z,2634,62,0,0,PT1M7S
M6z6-eq0RT8,2014-06-26T12:20:44Z,352752,783,0,45,PT2M11S
jzR3XyHApfo,2014-05-12T21:10:00Z,14377,148,0,1,PT8M9S
T3qn6XggHAs,2014-02-17T18:05:18Z,7224,156,0,5,PT6M7S
RYX4J_prhlI,2014-11-17T10:30:04Z,2634,62,0,0,PT1M7S
JNnavKi9FOs,2014-06-03T06:38:48Z,3662,26,0,1,PT2M30S
