ID,Year,View Count,Length (s),Likes
2LSh2EFqfZ0,2015,375445,433.0,4023
fR18kRL0RPM,2015,4175,218.0,131
UonChBw-ff8,2015,149013,374.0,2969
4DTZwRK9Tow,2015,931467,315.0,1029
99kTrZ6kXWM,2015,10965,201.0,126
5EA2LKTQ6Ww,2015,19250,128.0,427
CShm9urd0TA,2015,536,226.0,3
-ZQZKOyqHe0,2015,220970,139.0,1221
VpqfGwj4R5M,2015,94160,16.0,119
73WADcBV-qA,2015,1071,1068.0,8
O_fBKCpqGuI,2015,156826,214.0,367
2kEBiYT4-ug,2015,449,1803.0,3
LaQNi6V0l8o,2015,471280,254.0,7037
RZLABK5GeJs,2015,5897,178.0,24
8_dg6I4h7Po,2015,10531,129.0,19
eBORTSTGA_I,2015,1960565,146.0,8845
BOHLZ66a7Xo,2015,82,36.0,9
xHCY1EdSAko,2015,69,47.0,9
ig5dGul8fjw,2015,528,46.0,17
o7ujankqx3Y,2015,157,43.0,13
vjSnMKhgyhA,2015,150746,180.0,1218
Y0Eqrj-PO34,2015,125317,406.0,1641
Cr42CjYkARc,2015,114827,3169.0,827
togd_wYjD5Y,2015,1055076,384.0,37958
kfWxKor32EE,2015,391,22.0,19
3t9vL34OV50,2015,871181,102.0,734
exGiIWSm8lA,2015,197671,198.0,1364
D19XdHzAXhM,2015,214081,278.0,4233
BAi6Kn-yHno,2015,157,10.0,6
igJm3HYNmtg,2015,126561,350.0,1695
9CjMkDpr0qE,2015,796459,707.0,6226
2LSh2EFqfZ0,2015,375445,433.0,4023
UonChBw-ff8,2015,149013,374.0,2969
4DTZwRK9Tow,2015,931467,315.0,1029
daZZG9cZt_c,2015,189264,255.0,1214
99kTrZ6kXWM,2015,10965,201.0,126
xBoCrEswHvQ,2015,1776918,1641.0,11203
vfcpb-kAKfY,2015,121046,245.0,552
woF47zaFU1Q,2015,283141,2775.0,4116
C3gP2PtHVNM,2015,87,10.0,4
cdDxXQcyvZM,2015,41403097,314.0,138537
X1zhuMWx25A,2015,5801,12.0,39
